kelt_sourceid,kelt_field,kelt_orientation,proc_type,kelt_proc_version,ra,dec,kelt_mag,obsstart,obsstop,bjdstart,bjdstop,mean,stddevwrtmean,median,stddevwrtmedian,npts,n5sigma,f5sigma,medabsdev,chisquared,range595,minvalue,maxvalue
KELT_N02_lc_051241_V01_east,N02,west,tfa,V01,37.57069,33.83217,10.116,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.122955,0.009871,10.122285,0.009893,598,3,0.005017,0.005095,380.843809,0.028730,10.093330,10.195930
KELT_N02_lc_060639_V01_east,N02,east,tfa,V01,28.72414,40.70252,9.946,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,9.956519,0.005334,9.956060,0.005354,1771,6,0.003388,0.002700,159.196438,0.015460,9.938240,9.999710
KELT_N02_lc_060639_V01_east,N02,west,tfa,V01,28.72414,40.70252,9.998,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.017070,0.018045,10.014340,0.018251,590,6,0.010169,0.008245,922.174300,0.051220,9.974530,10.121710
KELT_N02_lc_066747_V01_east,N02,east,tfa,V01,19.34773,31.74348,10.174,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.185580,0.011177,10.184310,0.011249,1765,9,0.005099,0.004920,354.416182,0.031270,10.128060,10.260150
KELT_N02_lc_066747_V01_east,N02,west,tfa,V01,19.34773,31.74348,10.147,2006-10-27 07:06:26.0,2008-11-24 09:20:47.0,2454035.796138,2454794.889436,10.163224,0.012581,10.161890,0.012651,593,1,0.001686,0.005850,460.348901,0.036330,10.138210,10.225490
KELT_N02_lc_066849_V01_east,N02,east,tfa,V01,33.98465,33.35166,9.295,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,9.302988,0.002372,9.302810,0.002379,1787,4,0.002238,0.001370,135.114522,0.007330,9.284890,9.319440
KELT_N02_lc_066849_V01_east,N02,west,tfa,V01,33.98465,33.35166,9.738,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,9.749034,0.006355,9.748430,0.006384,600,2,0.003333,0.003470,321.464803,0.019700,9.731970,9.796640
KELT_N02_lc_072290_V01_east,N02,east,tfa,V01,40.38515,34.51735,10.979,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.986462,0.021076,10.984200,0.021197,1765,0,0.000000,0.011960,448.575385,0.066500,10.901770,11.083620
KELT_N02_lc_072290_V01_east,N02,west,tfa,V01,40.38515,34.51735,10.490,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.484698,0.039952,10.483915,0.039960,596,0,0.000000,0.026755,2600.907912,0.129500,10.355420,10.621180
KELT_N02_lc_072390_V01_east,N02,east,tfa,V01,43.05263,37.09540,10.084,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.097171,0.007464,10.096315,0.007513,1754,8,0.004561,0.003915,311.678324,0.021610,10.063740,10.154660
KELT_N02_lc_072390_V01_east,N02,west,tfa,V01,43.05263,37.09540,10.555,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.536958,0.016487,10.535550,0.016547,595,4,0.006723,0.006250,462.388207,0.038430,10.412500,10.630110
KELT_N02_lc_056475_V01_east,N02,east,tfa,V01,32.41817,32.31479,10.974,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.985796,0.011056,10.984300,0.011156,1757,4,0.002277,0.005620,181.329573,0.033240,10.945690,11.058220
